uri,casNumber,references,type,notation,prefLabel,altLabel,definition,collection,inScheme,theme,seeAlso,topConceptOf
co:CMA_1_A.17,NA,NA,skos:Concept,CMA/1/A.17,Monsternemingstechnieken (vloeibare) pasteuze materialen,Afvalstoffen – grondstoffen Monsternemingstechnieken (vloeibare) pasteuze materialen,"Deze procedure beschrijft de monsterneming van (vloeibare) pasteuze materialen en/of afvalstoffen en/of grondstoffen in het kader van VLAREM of VLAREMA. |In deze procedure worden de courante manuele bemonsteringstechnieken besproken voor slibachtige grondstoffen1, zoals zuiveringsslibs van (riool)waterzuiveringsinstallaties en/of diverse industriële processen. ",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.17.pdf,vlcs:observatieprocedure
co:CMA_1_A.18,NA,NA,skos:Concept,CMA/1/A.18,Monstervoorbehandeling ter plaatse,Afvalstoffen - grondstoffen Monstervoorbehandeling ter plaatse,"Deze procedure beschrijft de monstervoorbehandeling ter plaatse van vaste, vloeibare en pasteuze grondstoffen1 die moet uitgevoerd worden na de eigenlijke monsterneming, maar welke wel als onderdeel van het monsternemingsproces aanzien wordt. Deze methode is niet van toepassing voor de specifieke monstervoorbehandeling ter plaatse voor van monsters voor de analyse van asbest. Hiervoor wordt verwezen naar de richtlijnen in de betreffende monsternameprocedures (CMA/1/A.19, CMA/1/A.20).|Deze proceudre beschrijft de monstervoorbehandeling ter plaatse van vaste, vloeibare en pasteuze materialen en/of afvalstoffen en/of grondstoffen  in het kader van VLAREM of VLAREMA. ",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.18.pdf,vlcs:observatieprocedure
co:CMA_1_A.19,NA,NA,skos:Concept,CMA/1/A.19,Monsterneming voor de bepaling van asbest in gerecycleerde granulaten,NA,"Deze procedure beschrijft de monsterneming voor bepaling van asbest in gerecycleerde granulaten.|In deze procedure worden de richtlijnen vastgelegd omtrent de monsterneming en monstervoorbehandeling ter plaatse (kortweg veldonderzoek) m.b.t. een asbestonderzoek. Deze methode is enkel van toepassing op partijen die bemonsterd werden conform CMA/1/A.14 en CMA/1/.15. Voor gerecycleerde granulaten die reeds als fundering of verharding of ophoging van wegen of terreinen zijn toegepast, wordt een specifieke monsternemingsmethode toegepast, zoals beschreven in CMA/1/A.20.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.19.pdf,vlcs:observatieprocedure
co:CMA_1_A.2,NA,NA,skos:Concept,CMA/1/A.2,Grondwater,NA,Deze procedure beschrijft de staalrname voor grondwater in kader van bodemonderzoek,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.2.pdf,vlcs:observatieprocedure
co:CMA_1_A.20,NA,NA,skos:Concept,CMA/1/A.20,Monsterneming voor de bepaling van asbest in verhardings- en funderingslagen,NA,Deze procedure beschrijft de monsterneming voor bepaling van asbest in verhardings- en funderingslagen.|Het doel van deze procedure is het vaststellen van een representatieve en pragmatische staalnamestrategie voor asbestverdachte verhardings- of funderingslaag. In deze procedure worden de richtlijnen omtrent een visuele inspectie en bemonsteringsstrategie (kortweg veldonderzoek) voor een asbestonderzoek vastgelegd.,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.20.pdf,vlcs:observatieprocedure
co:CMA_1_A.21,NA,NA,skos:Concept,CMA/1/A.21,Monstername van eindproducten bij de verwerking van dierlijke bijproducten,NA,"Deze procedure beschrijft de monsterneming van eindproducten bij de verwreking van dierlijke bijproducten.|Dierlijke bijproducten zijn een brede groep van producten, die zowel grondstoffen als afvalstoffen kunnen omvatten. Deze procedure omvat de monstername van de eindproducten bij de verwerking van dierlijke bijproducten bestemd voor microbiologische analyses. De methode is toepasbaar voor de monsterneming van afgeleide producten die vrijkomen bij verwerkers van dierlijke bijproducten: vaste fracties (beendermeel, verenmeel, bloedmeel, ….) en vloeibare fracties (vet).",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.21.pdf,vlcs:observatieprocedure
co:CMA_1_A.3,NA,NA,skos:Concept,CMA/1/A.3,Passieve staalnametechnieken voor grondwater,NA,"Deze procedure beschrijft de passieve staalname voor grondwater in kader van bodemonderzoek|Klassiek gezien gebeurt staalname van grondwater door middel van low flow staalname uit een peilbuis. De richtlijnen met betrekking tot klassieke staalname van grondwater zijn opgenomen in de hierboven vermelde procedure. Deze procedure sluit de toepassing van alternatieve staalnametechnieken, zoals passieve staalname van grondwater, echter niet uit (zie eveneens standaardprocedure beschrijvend bodemonderzoek).",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.3.pdf,vlcs:observatieprocedure
co:CMA_1_A.4,NA,NA,skos:Concept,CMA/1/A.4,In-situ staalname van waterbodem,NA,"Deze procedure beschrijft de in situ staalname voor waterbodem in kader van bodemonderzoek|In deze procedure worden de meest gebruikte manuele staalnametechnieken besproken voor de insitu staalname van waterbodem. Hieronder worden zowel lineaire waterlopen verstaan, als nietlineaire wateroppervlakken (vijvers, poelen, wachtbekkens,…).",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.4.pdf,vlcs:observatieprocedure
co:CMA_1_A.5,NA,NA,skos:Concept,CMA/1/A.5,Bodemvocht,NA,"De bepaling van het bodemvochtgehalte kan belangrijk zijn daar verontreiniging aanwezig in hetonverzadigde deel van de bodem zich via het bodemvocht kan verspreiden en op die wijze in hetgrondwater terechtkomen. Best worden hier met betrekking tot de verspreiding modelmatigeberekeningen uitgevoerd. Voor de bepaling van het volumetrisch vochtgehalte neemt men een ongestoord monster met gekend volume (gekalibreerde ringen van 100 cm3 ). Het ganse monster wordt gewogen, gedroogd (meestal 110°C) en opnieuw gewogen. Het volumetrische vochtgehalte wordt dan berekend uit de verhouding volume water tot het bodemvolume.|Deze procedure beschrijft de bepaling van bodemvocht",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.5.pdf,vlcs:observatieprocedure
co:CMA_1_A.6,7440-44-0,csc:OKTJSMMVPCPJKN-UHFFFAOYSA-N,skos:Concept,CMA/1/A.6,"Bodemlucht, binnenlucht, omgevingslucht en emissies bij saneringen",NA,De rubriek (bodem)lucht omvat richtlijnen voor de staalname van bodemlucht; van binnenlucht; i.k.v. emissiemetingen bij saneringen.|Voor de staalname van (bodem)lucht wordt een onderscheid gemaakt tussen passieve of actieve staalname. De keuze van één van beide bemonsteringstechnieken is functie van de doelstelling van het onderzoek en van de karakteristieken van de bepalende parameters (e.g. dampdruk en Henry coëfficiënt).,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.6.pdf,vlcs:observatieprocedure
co:CMA_1_A.7,NA,NA,skos:Concept,CMA/1/A.7,Monsterneming voor bepaling van asbest in bodemlagen,NA,Deze procedure beschrijft de staalname van asbest in bodemlagen|Het doel van deze procedure is het vastleggen van een representatieve en pragmatische staalname voor asbestverdachte (puinhoudende) bodem. In deze procedure worden de richtlijnen omtrent de visuele inspectie en bemonstering (kortweg veldonderzoek) vastgelegd voor een asbestonderzoek uitgevoerd in het kader van het Bodemdecreet en het VLAREBO.,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.7.pdf,vlcs:observatieprocedure
co:CMA_1_A.8,NA,NA,skos:Concept,CMA/1/A.8,Staalname van hopen/partijen bodemmaterialen,NA,"De procedure behandelt de staalnametechnieken die toegepast worden bij het bemonsteren van hopen/partijen steekvaste en niet-steekvaste bodemmaterialen aanwezig in opslag zoals in TOP’s (tijdelijke opslagplaatsen), CGR’s (centra voor grondreiniging) en CSV’s (centra voor sedimentverwerking) en in het kader van bodemonderzoeken. |De procedure behandelt de staalnametechnieken die toegepast worden bij het bemonsteren van hopen/partijen steekvaste en niet-steekvaste bodemmaterialen aanwezig in opslag zoals in TOP’s (tijdelijke opslagplaatsen), CGR’s (centra voor grondreiniging) en CSV’s (centra voor sedimentverwerking) en in het kader van bodemonderzoeken. Het doel van de procedure is om een representatief staal te bekomen voor de bepaling van parameters in hopen/partijen steekvaste en niet-steekvaste bodemmaterialen. Het aantal te nemen stalen uit een partij bodemmaterialen en de keuze van de techniek is terug te vinden in de standaardprocedure ‘Regeling voor gebruik van bodemmaterialen – Opmaak van een technisch verslag’ en de Code van Goede Praktijk – Opslag, bewerking en/of reiniging van bodemmaterialen.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.8.pdf,vlcs:observatieprocedure
co:CMA_1_A.9,NA,NA,skos:Concept,CMA/1/A.9,Staalname bentonietslib,Water - Inleiding,Bentonietslib wordt in het bodemdecreet gedefinieerd als “een mengsel van uitgegraven bodem en bentoniet dat gecreëerd kan worden bij grond- en putboringen en grondwerken”. Het toepassingsgebied voor dit CMA betreft bentonietslib als mengsel van bentoniet en eventueel uitgegraven bodem in suspensie van water. De ontzande fractie en het ontwaterd materiaal vallen buiten het toepassingsgebied van dit CMA. Bij het uitvoeren van gestuurde boringen en het plaatsen van diepwanden kan een mengsel van water en bentoniet worden toegepast om het boorgat/de put open te houden. Hierbij komt vervolgens een hoeveelheid bentonietslib vrij waarvan het gebruik via de grondverzetsregeling verder moet worden opgevolgd.|Inleiding,coo:bodem|coo:water,vlcs:observatieprocedure,gemet:15179|gemet:7884,https://reflabos.vito.be/2023/CMA_1_A.9.pdf,vlcs:observatieprocedure
co:CMA_1_B,NA,NA,skos:Concept,CMA/1/B,Monsterconservering en -bewaring,NA,"De methode beschrijft de monsterconservering en –bewaringscondities voor diverse matrices waaronder bodem, waterbodem, grondwater, shredder, hout, meststof en bodemverbeterende middelen, bouwstof, olie en vetten, verwerkte dierlijk bijproducten. De methode volgt op de procedures rond monsterneming CMA/1/A.0 t.e.m. CMA/1/A.21.|De procedure beschrijft de monstercondervering en - bewaring.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_B.pdf,vlcs:observatieprocedure
co:CMA_1_C,NA,NA,skos:Concept,CMA/1/C,Veiligheidsmaatregelen,NA,Deze proceudre beschrijft veiligheidsmaatregelen bij monsterneming.|Om de veiligheid van het personeel maximaal te verzekeren is het nodig de risico's verbonden aan de monstername zo correct mogelijk in te schatten. De mogelijke risico's worden wettelijk omschreven als (o.a. ARAB art. 723 bis 1 tot 5) en kunnen als volgt onderverdeeld worden: • giftigheid van stoffen • gebruikte apparatuur • brand- en explosiegevaar • ondergrondse leidingen • reactiviteit van stoffen • plaatselijke omstandigheden • agressiviteit van stoffen,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_C.pdf,vlcs:observatieprocedure
co:CMA_1_D,NA,NA,skos:Concept,CMA/1/D,Referenties,NA,referenties,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_1_D.pdf,vlcs:observatieprocedure
co:CMA_2_I_A,NA,NA,skos:Concept,CMA/2/I/A,Methoden voor algemene anorganische testen,NA,Deze koepelnorm beschrijft de methoden voor de bepaling van de algemene anorganische parameters.,coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.pdf,vlcs:observatieprocedure
co:CMA_2_I_A.1,NA,NA,skos:Concept,CMA/2/I/A.1,Zuurtegraad,NA,"Deze procedure beschrijft een methode voor de bepaling van de pH waarde in regen-, drink en mineraal water, zwembadwater, oppervlakte- en grondwater, huishoudelijk en industrieel afvalwater, en vloeibare slib in een gebied tussen pH 2 en pH 12 met een ionensterkte beneden I = 0,3 mol/kg solvent (λ25°C < 2000 mS/cm) en in een temperatuursgebied tussen 0°C en 50°C.|Deze procedure beschrijft een methode voor de bepaling van de pH waarde in regen-, drink en mineraal water, zwembadwater, oppervlakte- en grondwater, huishoudelijk en industrieel afvalwater, en vloeibare slib in een gebied tussen pH 2 en pH 12 met een ionensterkte beneden I = 0,3 mol/kg solvent (25°C < 2000 mS/cm) en in een temperatuursgebied tussen 0°C en 50°C.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.1.pdf,vlcs:observatieprocedure
co:CMA_2_I_A.2,NA,NA,skos:Concept,CMA/2/I/A.2,Elektrische geleidbaarheid,NA,"Deze procedure beschrijft de bepaling van de elektrische geleidbaarheid in water (bijvoorbeeld grondwater, eluaten,…). |Deze procedure beschrijft de bepaling van de elektrische geleidbaarheid in water (bijvoorbeeld grondwater, eluaten,…). De beschreven methode is bruikbaar voor alle types water in een gebied van 1 tot 20 000 mS/m. De geleidbaarheid is een maatstaf voor de ionenactiviteit in water of voor de aanwezigheid van gedissocieerde stoffen in een waterige oplossing. Oplossingen van de meeste anorganische zuren, basen en zouten zijn relatief goede geleiders. Organische bestanddelen, niet gedissocieerd in waterige oplossingen, zijn zwakke stroomgeleiders.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.2.pdf,vlcs:observatieprocedure
co:CMA_2_I_A.3,NA,NA,skos:Concept,CMA/2/I/A.3,Droogrest in water en eluaten,NA,"De beschreven methode is geschikt voor de bepaling van opgeloste (en onopgeloste) stoffen in drink-, oppervlakte- en zoutwater, alsook voor huishoudelijk, industrieel afvalwater en eluaten.|De totale hoeveelheid aan opgeloste en onopgeloste bestanddelen (TS-total solids), voor zover deze niet vluchtig zijn bij de aangewende werkomstandigheden, omvat de droogrest bepaling uitgevoerd op ongefiltreerd (afval)water. De totale hoeveelheid opgeloste bestanddelen (TDS-total dissolved solids), voor zover deze niet vluchtig zijn bij de aangewende werkomstandigheden, omvat de droogrest bepaling uitgevoerd op gefiltreerd (afval)water en eluaten. De droogrest gaat over het algemeen de bepaling van de asrest vooraf (zie Asrest, CMA/2/I/A.4). De beschreven methode is geschikt voor de bepaling van opgeloste (en onopgeloste) stoffen in drink-, oppervlakte- en zoutwater, alsook voor huishoudelijk, industrieel afvalwater en eluaten.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.3.pdf,vlcs:observatieprocedure
co:CMA_2_I_A.6.1,NA,NA,skos:Concept,CMA/2/I/A.6.1,Ontsluiting voor de bepaling van geselecteerde elementen in water - aqua regia ontsluiting,NA,"Deze procedure beschrijft een methode voor de extractie van spoorelementen uit een waterstaal (bijvoorbeeld grond-, drink-, oppervlakte- en afvalwater) gebruik makend van aqua regia als ontsluitingsmedium.|Deze procedure beschrijft een methode voor de extractie van spoorelementen uit een waterstaal (bijvoorbeeld grond-, drink-, oppervlakte- en afvalwater) gebruik makend van aqua regia als ontsluitingsmedium. De methode is toepasbaar op alle types van water met een maximale hoeveelheid vaste stoffen in suspensie van 20 g/l (zie WAC/III/D/002) en een concentratie totale organische koolstof (TOC), uitgedrukt als koolstof, kleiner dan 5 g/l (zie CMA/2/I/D.7).",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.6.1.pdf,vlcs:observatieprocedure
co:CMA_2_I_A.6.3,NA,NA,skos:Concept,CMA/2/I/A.6.3,Ontsluiting voor de bepaling van geselecteerde elementen in water - salpeterzuurontsluiting,NA,"Deze procedure beschrijft een methode voor de extractie van spoorelementen uit een waterstaal (bijvoorbeeld grond-, drink-, oppervlakte- en afvalwater) gebruik makend van salpeterzuur als ontsluitingsmedium.|Deze procedure beschrijft een methode voor de extractie van spoorelementen uit een waterstaal (bijvoorbeeld grond-, drink-, oppervlakte- en afvalwater) gebruik makend van salpeterzuur als ontsluitingsmedium. De methode is toepasbaar op alle types van water met een maximale hoeveelheid vaste stoffen in suspensie van 20 g/l (zie WAC/III/D/002) en een concentratie totale organische koolstof (TOC), uitgedrukt als koolstof, kleiner dan 5 g/l (zie CMA/2/I/D.7).",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.6.3.pdf,vlcs:observatieprocedure
co:CMA_2_I_A.7,NA,NA,skos:Concept,CMA/2/I/A.7,Opgeloste zuurstof,NA,"De beschreven methode laat om de opgeloste zuurstof te bepalen in water door middel van een elektrochemische cel die afgesloten is met gaspermeabel membraan. De methode kan toegepast worden op alle soorten water. |De beschreven methode laat om de opgeloste zuurstof te bepalen in water door middel van een elektrochemische cel die afgesloten is met gaspermeabel membraan. De methode kan toegepast worden op alle soorten water. Bij gebruik voor zout water, zoals zeewater, moet er een correctie voor het zoutgehalte toe gepast worden. Opgeloste zuurstof kan ook bepaald worden met jodometrie (ISO 5813) of met een luminescentie sensor (EPA method 360.3).",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_A.7.pdf,vlcs:observatieprocedure
co:CMA_2_I_B,11125-23-8|11133-88-3|12640-29-8|12640-30-1|12641-96-2|12733-65-2|37256-19-2|37258-85-8|37276-15-6|37368-02-8|50954-17-1|51882-60-1|7782-49-2|7783-07-5|95788-45-7,csc:BUGBHKTXTAQXES-UHFFFAOYSA-N,skos:Concept,CMA/2/I/B,Methoden voor bepaling van elementen,NA,"Deze koepelnorm beschrijft de methoden voor de bepaling van de elementen.|Voor grondwater en eluaten dient geen ontsluiting te worden uitgevoerd. De analysen worden uitgevoerd op de gefiltreerde (0.45 µm) monsters. Enkel indien een neerslag wordt waargenomen, dient een ontsluiting te worden uitgevoerd conform CMA/2/I/A.6.1 of CMA/2/I/A.6.3. Voor bodem, vaste en pasteuze afvalstoffen dient een destructie te worden uitgevoerd conform CMA/2/II/A.3. Voor materialen die als meststof/bodemverbeterend middel worden aangewend, dient de destructie te worden uitgevoerd conform CMA/2/IV/6 met uitzondering van vloeibare monsters met een droge stofgehalte < 2%. Deze worden behandeld als een afvalwater en ontsloten conform WAC/III/B/002. Voor olie dient een destructie te worden uitgevoerd conform CMA/2/III/F.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_B.pdf,vlcs:observatieprocedure
co:CMA_2_I_B.1,11125-23-8|11133-88-3|12640-29-8|12640-30-1|12641-96-2|12733-65-2|141631-74-5|141631-75-6|141631-77-8|182260-46-4|37256-19-2|37258-85-8|37276-15-6|37368-02-8|50954-17-1|51882-60-1|7440-67-7|7782-49-2|7783-07-5|95788-45-7,csc:BUGBHKTXTAQXES-UHFFFAOYSA-N|csc:QCWXUUIWCKQGHC-UHFFFAOYSA-N,skos:Concept,CMA/2/I/B.1,Elementen met inductief gekoppeld plasma atomaire-emissiespectrometrie (ICP-AES),NA,"De beschreven methode laat toe de elementen aluminium, antimoon, arseen, barium, beryllium, bismuth, boor, calcium, cadmium, chroom, fosfor, gallium, ijzer, indium, kalium, kobalt, koper, lithium, lood, magnesium, mangaan, molybdeen, natrium, nikkel, seleen, silicium, strontium, thallium, titaan, vanadium, tin, wolfraam, zilver, zink, zirkonium en zwavel te bepalen met de inductief gekoppeld plasma  atomaire-emissiespectrometrie analysetechniek.  De beschreven analysemethode kan gebruikt worden voor het bepalen van bovenvermelde elementen in water (bijvoorbeeld grond-, drink-, oppervlakte- en afvalwater), uitlogingen, alsook in de ontsluitingsvloeistoffen.|De beschreven methode laat toe de elementen aluminium, antimoon, arseen, barium, beryllium, bismuth, boor, calcium, cadmium, chroom, fosfor, gallium, ijzer, indium, kalium, kobalt, koper, lithium, lood, magnesium, mangaan, molybdeen, natrium, nikkel, seleen, silicium, strontium, thallium, titaan, vanadium, tin, wolfraam, zilver, zink, zirkonium en zwavel te bepalen met de inductief gekoppeld plasma atomaire-emissiespectrometrie analysetechniek. De beschreven analysemethode kan gebruikt worden voor het bepalen van bovenvermelde elementen in water (bijvoorbeeld grond-, drink-, oppervlakte- en afvalwater), uitlogingen, alsook in de ontsluitingsvloeistoffen.",coo:bodem,vlcs:observatieprocedure,gemet:7884,https://reflabos.vito.be/2023/CMA_2_I_B.1.pdf,vlcs:observatieprocedure
